x_value,total_1,total_2
289,1234,1175
290,1230,1172
291,1225,1170
292,1228,1170
293,1234,1169
294,1238,1169
295,1234,1175
296,1241,1174
297,1248,1175
298,1254,1171
299,1257,1172
300,1254,1175
301,1262,1171
302,1258,1177
303,1261,1173
304,1265,1174
305,1273,1169
306,1274,1170
307,1273,1173
308,1273,1178
309,1280,1180
310,1283,1182
311,1285,1179
312,1286,1179
313,1281,1185
314,1287,1183
315,1284,1178
316,1283,1184
317,1283,1181
318,1287,1183
319,1290,1186
320,1285,1187
321,1292,1184
322,1290,1189
323,1292,1184
324,1300,1182
325,1298,1181
326,1293,1180
327,1297,1180
328,1299,1183
329,1293,1187
330,1297,1183
331,1291,1178
332,1293,1180
333,1300,1184
334,1295,1180
335,1297,1184
336,1304,1187
337,1302,1191
338,1309,1189
339,1314,1185
340,1313,1190
341,1319,1194
342,1327,1189
343,1322,1189
344,1323,1195
345,1317,1191
346,1311,1195
347,1307,1196
348,1313,1195
349,1316,1195
350,1314,1194
351,1322,1191
352,1319,1194
353,1320,1196
354,1327,1195
355,1330,1201
356,1328,1196
357,1325,1196
358,1331,1198
359,1330,1204
360,1335,1206
361,1339,1204
362,1334,1203
363,1328,1208
364,1336,1204
365,1331,1203
366,1336,1204
367,1338,1203
368,1336,1208
369,1333,1209
370,1331,1210
371,1333,1207
372,1328,1213
373,1329,1219
374,1337,1221
375,1338,1220
376,1334,1225
377,1337,1223
378,1344,1219
379,1338,1223
380,1339,1224
381,1336,1219
382,1344,1224
383,1351,1220
384,1354,1215
385,1352,1219
386,1351,1220
387,1350,1219
388,1350,1217
389,1356,1218
390,1364,1221
391,1364,1222
392,1366,1223
393,1360,1225
394,1354,1222
395,1353,1224
396,1349,1228
397,1344,1227
398,1339,1230
399,1338,1225
400,1340,1231
401,1342,1232
402,1349,1236
403,1357,1239
404,1351,1236
405,1348,1232
406,1343,1237
407,1350,1239
408,1356,1242
409,1353,1245
410,1359,1241
411,1364,1245
412,1369,1246
413,1367,1248
414,1370,1245
415,1374,1251
416,1372,1246
417,1369,1241
418,1377,1241
419,1373,1239
420,1372,1236
421,1376,1235
422,1370,1236
423,1373,1234
424,1372,1232
425,1366,1234
426,1361,1229
427,1368,1225
428,1368,1223
429,1369,1224
430,1363,1227
431,1368,1228
432,1368,1231
433,1363,1226
434,1357,1226
435,1352,1229
436,1352,1232
437,1353,1227
438,1352,1227
439,1356,1230
440,1350,1235
441,1353,1231
442,1355,1227
443,1362,1232
444,1363,1238
445,1370,1242
446,1367,1241
447,1373,1238
448,1375,1235
449,1376,1241
450,1379,1239
451,1381,1244
452,1376,1249
453,1378,1252
454,1372,1252
455,1375,1249
456,1376,1245
457,1374,1248
458,1376,1249
459,1374,1246
460,1377,1245
461,1385,1241
462,1387,1236
463,1387,1236
464,1385,1237
465,1386,1242
466,1389,1241
467,1392,1244
468,1397,1245
469,1397,1243
470,1399,1238
471,1400,1234
472,1402,1234
473,1398,1238
474,1402,1238
475,1404,1244
476,1405,1247
477,1412,1252
478,1406,1258
479,1400,1256
480,1395,1260
481,1394,1262
482,1398,1261
483,1400,1264
484,1407,1259
485,1411,1257
486,1405,1259
487,1401,1254
488,1403,1250
489,1408,1246
490,1403,1249
491,1401,1250
492,1406,1256
493,1403,1254
494,1407,1256
495,1404,1255
496,1407,1252
497,1410,1253
498,1412,1257
499,1420,1261
500,1424,1258
501,1428,1261
502,1423,1263
503,1424,1266
504,1424,1272
505,1431,1278
506,1439,1279
507,1442,1278
508,1449,1281
509,1457,1277
510,1459,1282
511,1467,1286
512,1472,1286
513,1467,1291
514,1464,1287
515,1470,1284
516,1472,1286
517,1476,1289
518,1473,1295
519,1479,1298
520,1474,1300
521,1470,1306
522,1474,1304
523,1474,1304
524,1478,1301
525,1481,1303
526,1481,1305
527,1485,1309
528,1488,1315
529,1482,1317
530,1486,1321
531,1482,1324
532,1480,1327
533,1474,1326
534,1481,1331
535,1487,1329
536,1491,1326
537,1485,1328
538,1490,1333
539,1487,1335
540,1488,1339
541,1488,1341
542,1489,1338
543,1487,1342
544,1495,1348
545,1497,1351
546,1491,1352
547,1485,1347
548,1482,1348
549,1483,1351
550,1479,1348
551,1483,1352
552,1480,1347
553,1487,1348
554,1491,1351
555,1487,1353
556,1492,1350
557,1486,1348
558,1489,1343
559,1483,1341
560,1482,1344
561,1481,1349
562,1479,1345
563,1476,1341
564,1479,1346
565,1474,1351
566,1470,1351
567,1467,1349
568,1467,1349
569,1464,1345
570,1469,1341
571,1476,1340
572,1481,1338
573,1481,1339
574,1479,1336
575,1480,1338
576,1478,1340
577,1484,1336
578,1488,1342
579,1482,1348
580,1484,1352
581,1490,1351
582,1487,1350
583,1486,1356
584,1491,1361
585,1496,1367
586,1496,1365
587,1503,1370
588,1500,1376
589,1498,1375
590,1502,1379
591,1496,1385
592,1501,1383
593,1500,1389
594,1503,1389
595,1509,1395
596,1514,1392
597,1515,1397
598,1522,1396
599,1525,1399
600,1526,1395
601,1522,1390
602,1524,1385
603,1521,1387
604,1518,1391
605,1526,1387
606,1524,1385
607,1523,1390
608,1520,1396
609,1524,1397
610,1520,1394
611,1514,1392
612,1508,1391
613,1506,1387
614,1508,1389
615,1509,1393
616,1508,1391
617,1511,1386
618,1518,1389
619,1519,1387
620,1519,1391
621,1513,1386
622,1514,1392
623,1517,1387
624,1519,1393
625,1520,1399
626,1521,1395
627,1521,1400
628,1527,1396
629,1521,1393
630,1526,1390
631,1527,1391
632,1532,1394
633,1531,1398
634,1534,1401
635,1531,1400
636,1533,1398
637,1527,1402
638,1535,1404
639,1539,1399
640,1536,1401
641,1541,1407
642,1540,1411
643,1541,1411
644,1538,1406
645,1536,1402
646,1532,1404
647,1530,1403
648,1525,1408
649,1528,1403
650,1536,1409
651,1535,1408
652,1531,1410
653,1539,1407
654,1543,1406
655,1543,1409
656,1548,1407
657,1542,1413
658,1550,1409
659,1553,1410
660,1552,1413
661,1556,1414
662,1558,1417
663,1563,1420
664,1562,1425
665,1570,1423
666,1573,1423
667,1568,1422
668,1574,1420
669,1569,1425
670,1571,1430
671,1575,1431
672,1575,1435
673,1571,1432
674,1570,1432
675,1577,1438
676,1575,1443
677,1576,1442
678,1573,1444
679,1575,1448
680,1579,1445
681,1586,1443
682,1588,1440
683,1584,1436
684,1578,1436
685,1580,1442
686,1583,1444
687,1589,1439
688,1593,1442
689,1599,1439
690,1605,1440
691,1611,1443
692,1615,1443
693,1616,1440
694,1615,1436
695,1613,1435
696,1609,1430
697,1616,1431
698,1613,1434
699,1613,1438
700,1618,1442
701,1620,1446
702,1620,1452
703,1628,1452
704,1628,1457
705,1632,1460
706,1638,1455
707,1633,1453
708,1630,1458
709,1624,1461
710,1632,1462
711,1629,1461
712,1629,1460
713,1627,1455
714,1628,1454
715,1627,1460
716,1634,1466
717,1635,1466
718,1641,1462
719,1649,1462
720,1656,1466
721,1661,1467
722,1655,1467
723,1652,1463
724,1660,1460
725,1655,1456
726,1662,1460
727,1665,1455
728,1673,1455
729,1677,1461
730,1681,1461
731,1681,1460
732,1679,1465
733,1686,1471
734,1693,1467
735,1690,1471
736,1692,1473
737,1693,1475
738,1687,1471
739,1695,1476
740,1699,1479
741,1698,1478
742,1699,1481
743,1702,1483
744,1710,1481
745,1712,1486
746,1720,1485
747,1724,1488
748,1723,1486
749,1720,1483
750,1726,1478
751,1729,1475
752,1726,1471
753,1721,1476
754,1716,1478
755,1719,1482
756,1721,1480
757,1723,1484
758,1718,1487
759,1712,1493
760,1720,1491
761,1725,1489
762,1720,1484
763,1715,1482
764,1716,1479
765,1716,1476
766,1721,1479
767,1720,1485
768,1719,1483
769,1716,1488
770,1714,1487
771,1719,1486
772,1714,1488
773,1713,1484
774,1708,1487
775,1711,1483
776,1710,1481
777,1714,1481
778,1722,1483
779,1728,1482
780,1727,1477
781,1730,1475
782,1724,1477
783,1728,1481
784,1724,1477
785,1726,1483
786,1724,1482
787,1729,1484
788,1730,1488
789,1734,1492
790,1733,1496
791,1737,1491
792,1745,1492
793,1749,1497
794,1749,1494
795,1753,1489
796,1754,1485
797,1762,1483
798,1759,1481
799,1754,1479
800,1760,1480
801,1756,1477
802,1759,1473
803,1756,1476
804,1759,1480
805,1765,1486
806,1766,1487
807,1767,1483
808,1773,1482
809,1780,1484
810,1778,1481
811,1779,1485
812,1785,1482
813,1785,1485
814,1782,1491
815,1779,1487
816,1773,1490
817,1780,1492
818,1788,1493
819,1786,1488
820,1783,1485
821,1786,1481
822,1783,1484
823,1782,1486
824,1790,1481
825,1797,1479
826,1805,1479
827,1807,1477
828,1804,1479
829,1798,1484
830,1794,1479
831,1796,1484
832,1799,1484
833,1794,1480
834,1792,1484
835,1787,1485
836,1782,1491
837,1786,1496
838,1781,1492
839,1776,1487
840,1776,1493
841,1772,1494
842,1778,1493
843,1785,1499
844,1783,1504
845,1787,1501
846,1788,1501
847,1792,1507
848,1800,1513
849,1806,1518
850,1814,1520
851,1811,1515
852,1809,1512
853,1814,1510
854,1809,1516
855,1809,1514
856,1810,1514
857,1804,1512
858,1810,1509
859,1811,1514
860,1814,1511
861,1821,1511
862,1819,1510
863,1818,1507
864,1819,1503
865,1823,1509
866,1824,1505
867,1831,1502
868,1831,1497
869,1826,1503
870,1827,1506
871,1822,1505
872,1827,1509
873,1830,1505
874,1833,1507
875,1835,1513
876,1829,1519
877,1837,1524
878,1838,1519
879,1840,1520
880,1842,1522
881,1841,1518
882,1838,1521
883,1838,1524
884,1843,1523
885,1844,1519
886,1843,1518
887,1850,1515
888,1849,1515
889,1857,1512
890,1853,1518
891,1853,1513
892,1849,1512
893,1847,1509
894,1853,1508
895,1856,1509
896,1863,1509
897,1862,1515
898,1870,1515
899,1873,1517
900,1869,1514
901,1868,1517
902,1863,1518
903,1857,1520
904,1855,1522
905,1857,1523
906,1854,1529
907,1860,1528
908,1862,1524
909,1862,1527
910,1864,1522
911,1860,1528
912,1866,1529
913,1873,1532
914,1869,1537
915,1867,1533
916,1874,1532
917,1878,1527
918,1872,1527
919,1871,1529
920,1867,1533
921,1872,1531
922,1876,1526
923,1878,1526
924,1876,1522
925,1877,1518
926,1873,1521
927,1869,1517
928,1871,1517
929,1871,1523
930,1877,1529
931,1881,1531
932,1875,1535
933,1883,1531
934,1881,1535
935,1882,1532
936,1886,1535
937,1884,1533
938,1880,1529
939,1887,1527
940,1885,1533
941,1881,1528
942,1876,1528
943,1884,1523
944,1878,1519
945,1879,1516
946,1874,1511
947,1870,1507
948,1868,1511
949,1875,1517
950,1882,1516
951,1880,1515
952,1888,1521
953,1893,1522
954,1894,1527
955,1901,1532
956,1896,1527
957,1896,1524
958,1904,1527
959,1906,1527
960,1902,1532
961,1900,1536
962,1902,1533
963,1910,1530
964,1907,1532
965,1905,1538
966,1902,1535
967,1900,1537
968,1905,1543
969,1902,1539
970,1903,1545
971,1905,1549
972,1910,1544
973,1918,1546
974,1921,1552
975,1924,1556
976,1930,1562
977,1925,1568
978,1930,1567
979,1937,1563
980,1943,1563
981,1937,1564
982,1931,1561
983,1935,1558
984,1935,1553
985,1941,1555
986,1943,1553
987,1951,1551
988,1947,1555
989,1944,1558
990,1940,1564
991,1947,1565
992,1951,1569
993,1947,1574
994,1954,1570
995,1961,1572
996,1965,1567
997,1970,1567
998,1975,1571
999,1972,1572
1000,1980,1574
1001,1974,1578
1002,1968,1574
1003,1973,1570
1004,1975,1576
1005,1979,1578
1006,1978,1580
1007,1976,1575
1008,1972,1577
1009,1970,1573
1010,1971,1570
1011,1967,1572
1012,1973,1575
1013,1978,1581
1014,1977,1579
1015,1973,1577
1016,1977,1578
1017,1971,1579
1018,1975,1577
1019,1973,1582
1020,1977,1588
1021,1983,1591
1022,1986,1588
1023,1991,1586
1024,1985,1591
1025,1986,1593
1026,1991,1590
1027,1987,1596
1028,1993,1595
1029,1996,1595
1030,2002,1601
1031,2003,1605
1032,2004,1603
1033,2004,1605
1034,2000,1611
1035,2008,1616
1036,2008,1612
1037,2016,1618
1038,2014,1614
1039,2008,1614
1040,2013,1617
1041,2013,1621
1042,2008,1624
1043,2015,1627
1044,2020,1624
1045,2026,1620
1046,2022,1625
1047,2023,1629
1048,2019,1630
1049,2027,1636
1050,2031,1638
1051,2035,1644
1052,2035,1644
1053,2041,1642
1054,2036,1644
1055,2032,1640
1056,2036,1639
1057,2040,1639
1058,2038,1640
1059,2040,1638
1060,2044,1641
1061,2042,1642
1062,2049,1637
1063,2044,1636
1064,2047,1632
1065,2055,1629
1066,2060,1632
1067,2065,1630
1068,2070,1628
1069,2074,1629
1070,2070,1634
1071,2075,1631
1072,2071,1627
1073,2071,1626
1074,2072,1624
1075,2080,1630
1076,2085,1632
1077,2081,1628
1078,2079,1628
1079,2083,1625
1080,2087,1631
1081,2092,1635
1082,2099,1635
1083,2099,1632
1084,2094,1629
1085,2091,1635
1086,2087,1630
1087,2095,1631
1088,2099,1627
1089,2106,1624
1090,2106,1621
1091,2107,1617
1092,2108,1613
1093,2114,1610
1094,2120,1616
1095,2121,1613
1096,2115,1612
1097,2123,1618
1098,2123,1621
1099,2123,1622
1100,2123,1619
1101,2131,1622
1102,2139,1621
1103,2145,1624
1104,2144,1620
1105,2152,1625
1106,2160,1622
1107,2155,1628
1108,2157,1633
1109,2157,1639
1110,2157,1634
1111,2155,1633
1112,2154,1636
1113,2149,1632
1114,2157,1631
1115,2162,1629
1116,2170,1634
1117,2167,1640
1118,2173,1644
1119,2176,1649
1120,2181,1651
1121,2175,1653
1122,2173,1649
1123,2178,1652
1124,2173,1658
1125,2181,1662
1126,2179,1666
1127,2184,1672
1128,2180,1668
1129,2182,1674
1130,2182,1670
1131,2187,1667
1132,2187,1669
1133,2187,1667
1134,2188,1662
1135,2186,1666
1136,2182,1671
1137,2180,1672
1138,2180,1668
1139,2174,1663
1140,2178,1667
1141,2183,1667
1142,2188,1667
1143,2189,1670
1144,2193,1665
1145,2189,1664
1146,2193,1662
1147,2195,1668
1148,2190,1674
1149,2197,1670
1150,2197,1671
1151,2194,1671
1152,2189,1675
1153,2191,1676
1154,2186,1681
1155,2192,1686
1156,2195,1690
1157,2194,1686
1158,2191,1687
1159,2197,1683
1160,2194,1687
1161,2201,1687
1162,2198,1686
1163,2196,1684
1164,2197,1681
1165,2196,1682
1166,2198,1681
1167,2203,1680
1168,2206,1684
1169,2213,1687
1170,2216,1688
1171,2219,1693
1172,2223,1689
1173,2217,1684
1174,2221,1687
1175,2229,1683
1176,2231,1683
1177,2236,1682
1178,2239,1686
1179,2236,1686
1180,2238,1682
1181,2235,1682
1182,2230,1688
1183,2230,1683
1184,2226,1686
1185,2220,1684
1186,2225,1687
1187,2227,1685
1188,2224,1690
1189,2221,1689
1190,2217,1687
1191,2220,1693
1192,2224,1694
1193,2221,1699
1194,2228,1701
1195,2225,1704
1196,2233,1706
1197,2238,1707
1198,2237,1704
1199,2240,1700
1200,2237,1695
1201,2234,1699
1202,2230,1702
1203,2234,1701
1204,2242,1703
1205,2243,1709
1206,2246,1705
1207,2247,1701
1208,2243,1707
1209,2245,1704
1210,2241,1709
1211,2247,1712
1212,2254,1716
1213,2250,1722
1214,2246,1728
1215,2240,1727
1216,2247,1726
1217,2249,1729
1218,2254,1735
1219,2259,1738
1220,2265,1733
1221,2270,1739
1222,2271,1740
1223,2274,1743
1224,2280,1740
1225,2285,1735
1226,2285,1740
1227,2287,1735
1228,2281,1741
1229,2287,1739
1230,2282,1745
1231,2289,1743
1232,2287,1745
1233,2293,1742
1234,2288,1738
1235,2292,1738
1236,2293,1737
1237,2294,1733
1238,2296,1734
1239,2302,1737
1240,2307,1736
1241,2310,1739
1242,2306,1745
1243,2312,1740
1244,2320,1739
1245,2322,1737
1246,2319,1735
1247,2321,1740
1248,2323,1744
1249,2323,1750
1250,2325,1749
1251,2326,1752
1252,2324,1757
1253,2324,1759
1254,2325,1762
1255,2323,1757
1256,2319,1758
1257,2320,1762
1258,2326,1757
1259,2325,1757
1260,2325,1759
1261,2319,1760
1262,2316,1757
1263,2314,1753
1264,2317,1756
1265,2311,1757
1266,2306,1760
1267,2306,1761
1268,2310,1759
1269,2305,1757
1270,2311,1757
1271,2309,1761
1272,2312,1766
1273,2306,1762
1274,2313,1759
1275,2308,1757
1276,2304,1762
1277,2306,1758
1278,2311,1759
1279,2319,1756
1280,2316,1759
1281,2312,1754
1282,2319,1755
1283,2326,1759
1284,2320,1755
1285,2318,1759
1286,2323,1759
1287,2328,1758
1288,2336,1760
1289,2336,1759
1290,2340,1761
1291,2345,1758
1292,2349,1764
1293,2357,1766
1294,2361,1765
1295,2365,1764
1296,2367,1760
1297,2373,1755
1298,2377,1754
1299,2371,1754
1300,2373,1759
1301,2377,1754
1302,2379,1751
1303,2383,1750
1304,2383,1755
1305,2377,1753
1306,2371,1759
1307,2376,1754
1308,2376,1753
1309,2383,1756
1310,2380,1753
1311,2387,1748
1312,2394,1754
1313,2392,1750
1314,2386,1752
1315,2384,1753
1316,2389,1756
1317,2390,1754
1318,2386,1754
1319,2388,1753
1320,2394,1755
1321,2400,1758
1322,2396,1759
1323,2404,1754
1324,2407,1755
1325,2412,1759
1326,2418,1761
1327,2419,1761
1328,2421,1762
1329,2422,1763
1330,2424,1765
1331,2424,1769
1332,2418,1772
1333,2417,1769
1334,2422,1767
1335,2428,1769
1336,2423,1774
1337,2430,1775
1338,2437,1774
1339,2436,1775
1340,2434,1774
1341,2429,1771
1342,2433,1774
1343,2437,1776
1344,2431,1781
1345,2437,1785
1346,2445,1787
1347,2452,1782
1348,2453,1777
1349,2455,1782
1350,2451,1785
1351,2453,1784
1352,2455,1781
1353,2461,1783
1354,2463,1780
1355,2467,1783
1356,2463,1782
1357,2462,1777
1358,2463,1774
1359,2466,1773
1360,2462,1773
1361,2464,1772
1362,2466,1775
1363,2460,1778
1364,2468,1776
1365,2476,1775
1366,2475,1779
1367,2472,1781
1368,2469,1782
1369,2467,1777
1370,2468,1782
1371,2465,1787
1372,2464,1788
1373,2460,1792
1374,2466,1789
1375,2462,1786
1376,2466,1784
1377,2473,1784
1378,2477,1785
1379,2481,1791
1380,2477,1797
1381,2478,1799
1382,2479,1798
1383,2473,1802
1384,2478,1807
1385,2472,1805
1386,2476,1808
1387,2472,1805
1388,2466,1800
1389,2469,1802
1390,2466,1805
1391,2472,1811
1392,2475,1809
1393,2477,1805
1394,2474,1801
1395,2469,1806
1396,2464,1808
1397,2466,1810
1398,2465,1816
1399,2467,1814
1400,2463,1818
1401,2467,1823
1402,2470,1821
1403,2466,1827
1404,2464,1829
1405,2464,1832
1406,2462,1828
1407,2465,1828
1408,2469,1824
1409,2469,1830
1410,2473,1835
1411,2472,1834
1412,2477,1834
1413,2479,1831
1414,2486,1832
1415,2487,1834
1416,2481,1840
1417,2480,1839
1418,2477,1845
1419,2477,1842
1420,2479,1842
1421,2475,1841
1422,2469,1841
1423,2465,1842
1424,2462,1839
1425,2460,1844
1426,2456,1850
1427,2463,1853
1428,2471,1851
1429,2477,1855
1430,2472,1854
1431,2476,1849
1432,2482,1847
1433,2477,1845
1434,2482,1846
1435,2483,1848
1436,2485,1849
1437,2481,1852
1438,2478,1854
1439,2485,1859
1440,2488,1861
1441,2496,1865
1442,2499,1862
1443,2500,1859
1444,2505,1855
1445,2506,1857
1446,2509,1856
1447,2505,1858
1448,2509,1858
1449,2513,1861
1450,2513,1864
1451,2511,1870
1452,2513,1873
1453,2519,1878
1454,2518,1880
1455,2524,1878
1456,2530,1882
1457,2537,1883
1458,2536,1888
1459,2541,1889
1460,2547,1895
1461,2555,1897
1462,2560,1897
1463,2563,1902
1464,2560,1902
1465,2565,1906
1466,2569,1908
1467,2577,1907
1468,2573,1907
1469,2569,1913
1470,2569,1908
1471,2571,1904
1472,2566,1907
1473,2574,1903
1474,2568,1906
1475,2569,1909
1476,2577,1906
1477,2583,1905
1478,2587,1911
1479,2590,1908
1480,2587,1903
1481,2584,1909
1482,2585,1909
1483,2588,1906
1484,2584,1905
1485,2586,1907
1486,2584,1909
1487,2592,1915
1488,2598,1919
1489,2597,1921
1490,2604,1925
1491,2606,1928
1492,2608,1931
1493,2614,1937
1494,2617,1935
1495,2614,1941
1496,2612,1942
1497,2618,1942
1498,2623,1947
1499,2622,1945
1500,2628,1941
1501,2633,1946
1502,2634,1943
1503,2636,1942
1504,2640,1940
1505,2639,1938
1506,2647,1936
1507,2651,1940
1508,2655,1942
1509,2659,1943
1510,2661,1949
1511,2661,1945
1512,2662,1948
1513,2664,1947
1514,2658,1948
1515,2666,1952
1516,2663,1957
1517,2671,1962
1518,2665,1957
1519,2659,1955
1520,2664,1958
1521,2667,1953
1522,2670,1956
1523,2674,1956
1524,2675,1955
1525,2670,1954
1526,2674,1952
1527,2672,1956
1528,2670,1961
1529,2672,1966
1530,2669,1971
1531,2667,1976
1532,2674,1978
1533,2682,1980
1534,2684,1978
1535,2691,1981
1536,2699,1979
1537,2703,1983
1538,2701,1978
1539,2708,1976
1540,2704,1980
1541,2707,1984
1542,2702,1980
1543,2701,1986
1544,2699,1983
1545,2705,1986
1546,2702,1983
1547,2709,1986
1548,2706,1987
1549,2700,1991
1550,2694,1991
1551,2697,1987
1552,2699,1984
1553,2694,1980
1554,2693,1978
1555,2689,1982
1556,2690,1977
1557,2686,1973
1558,2683,1979
1559,2683,1982
1560,2691,1985
1561,2693,1986
1562,2689,1985
1563,2693,1991
1564,2695,1991
1565,2693,1995
1566,2697,1991
1567,2698,1991
1568,2701,1992
1569,2705,1991
1570,2700,1989
1571,2702,1989
1572,2703,1994
1573,2711,1991
1574,2712,1993
1575,2715,1991
1576,2712,1986
1577,2711,1990
1578,2717,1994
1579,2720,1999
1580,2727,1998
1581,2731,1998
1582,2725,2001
1583,2724,2000
1584,2720,2006
1585,2715,2006
1586,2721,2011
1587,2716,2013
1588,2716,2017
1589,2713,2012
1590,2709,2007
1591,2717,2007
1592,2712,2007
1593,2716,2006
1594,2714,2005
1595,2708,2006
1596,2705,2006
1597,2712,2003
1598,2707,1999
1599,2710,2001
1600,2711,2002
1601,2708,2007
1602,2715,2008
1603,2722,2008
1604,2724,2005
1605,2721,2002
1606,2728,1998
1607,2734,2003
1608,2728,2006
1609,2733,2011
1610,2731,2017
1611,2736,2018
1612,2736,2013
1613,2733,2010
1614,2740,2010
1615,2747,2008
1616,2744,2003
1617,2746,2000
1618,2740,1996
1619,2734,1993
1620,2735,1990
1621,2730,1987
1622,2724,1988
1623,2720,1986
1624,2727,1988
1625,2721,1994
1626,2728,1994
1627,2723,1995
1628,2720,1993
1629,2724,1997
1630,2723,2003
1631,2731,2003
1632,2732,2002
1633,2736,1997
1634,2741,1994
1635,2748,1997
1636,2755,2000
1637,2749,2001
1638,2748,1996
1639,2742,2001
1640,2742,2002
1641,2749,2006
1642,2751,2008
1643,2749,2010
1644,2754,2015
1645,2752,2020
1646,2751,2018
1647,2745,2017
1648,2740,2019
1649,2739,2023
1650,2734,2018
1651,2728,2013
1652,2726,2013
1653,2722,2012
1654,2727,2018
1655,2727,2014
1656,2735,2014
1657,2736,2009
1658,2743,2014
1659,2748,2009
1660,2746,2013
1661,2752,2016
1662,2754,2016
1663,2749,2015
